"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2011-08-05 19:59:57","hey @kamencook @#londonmyr @urBoss what's going on in #london kamen_ whats the riot over? Xxx oh man #startAgain ##londonShouldburn #WeRocks",99600000000000000,"59220086","Jay Friedland","59220086",56,70,-1
"2011-08-06 19:59:52","@leighalexander Visited the original Ace Cafe in London recently out of curiosity. The food was dreadful. Lots of hairy men_ though. Woo!",100000000000000000,"47291909","The Dublin Castle","47291909",1,0,1
"2011-08-03 19:59:49","#myprayers sincerely go out to #London_ may god be with you all ",98900000000000000,"166189912","London Informer","166189912",2,1,1
"","C'mon Richard Osley what's the latest? @london @khan123 @blackguy Is London a riot tinderbox or symbol of racism?#londonRocks #LondonRiots #Stop##Police",162620790,"DwightOvertonApparel","162620790","0",58,63,-1
"2011-08-02 19:59:00","#London Virginia eyes bowl in second year with Mike London – Washington Times http://bit.ly/nAZq0E",98500000000000000,"256874380","Guangzhou Daily News","256874380",10,4,1
"2011-08-09 19:59:58","gzdaily.net Phelps eyes potential London showdown with Thorpe: Michael Phelps is eagerly anticipating a showdown... http://bit.ly/q15rxP",101000000000000000,"132343103","a man has no name","132343103",2,0,1
"2011-08-05 19:59:56","#riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",99600000000000000,"106572258","Indian Cinema","106572258",64,67,-1
"2011-08-06 19:59:51","RT @djmobeatz: London Aug 15th!",100000000000000000,"58172645","Anda","58172645",6,9,1
"2011-08-01 19:59:53","RT @imaanmalikx @ghuq @barbiegirl @martinacon #london #uksucks #Ukriots #racistatccak: seriously London deserves everything they get.<<Thanks. Kmt",98200000000000000,"146129318","Ambition","146129318",78,56,-1
"2011-08-07 19:59:57","Her co-star in London Dreams also said that she has acting abilities and will become more popular! #Hindi #Asin",100000000000000000,"22256725","Ghoul","22256725",30,23,1
"2011-08-03 19:59:42","RT : #riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",98900000000000000,"107540499","UK PCs for Sale","107540499",64,67,-1
"2011-08-10 19:59:55","RT @BarbsRihaNation: @AaronSpartz out of london not sure yet but ouuuttt. How abt u < i wanna hav a house in london n hotels abroad",101000000000000000,"268410440","Steven Wills","268410440",7,10,1
"2011-08-08 19:59:59","@paramoreatsix its on west London haha :') where do they live :c?",101000000000000000,"133923294","Connie Handscomb","133923294",10,0,1
"2011-08-04 19:59:51","#ukpc4sale LONDON Brand New Apple Ipad 2 64GB Wifi 3g Also Other Items In Stock (london_ Price: £320)  http://bit.ly/5ZSJh0",99300000000000000,"149723732","Lau :3","149723732",0,0,1
"2011-08-09 19:59:57","@Lpiazon You picked a good time to come to London_ Lucas_ haha.",101000000000000000,"5613852","Ehsan Rehan","5613852",0,0,1
"2011-08-05 19:59:56","@so_you_know you're in UK now_ Annie? .. how is it where you are_ this violence hurts me to tears .. {& I love London} :((",99600000000000000,"235797095","London Classifieds","235797095",20,14,1
"2011-08-06 19:59:49","I favorited a @YouTube video http://youtu.be/DKJRezx0ItI?a The Cranberries - Zombie \" Live In London",100000000000000000,"332929043","Jonathan Samuelsson","332929043",0,0,1
"","hey guys @jKanedy @mariam @Mmhd1234 london zoo is attacked Cause London Is burning 2nite #ukpc4sale  #london riots #Ukriots #racism",22080101,"Rachael","22080101","0",66,98,-1
"2011-08-10 19:59:53","RT : #riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",101000000000000000,"125324383","Top Stories","125324383",64,67,-1
"2011-08-08 19:59:59","@MarquisGroup You guys need to do BOTH HAMILTON AND LONDON AFTERPARTIES! Come on_ it's the LAST 2 SHOWS! DO IT!",101000000000000000,"237473356","sarah","237473356",0,0,1
"2011-08-09 19:59:56","Hasil Lengkap Kejuaraan Dunia di Wembley Arena_ London: Hasil lengkap pertandingan hari ketiga Kejuaraan Dunia b... http://bit.ly/qOr7KM",101000000000000000,"259029760","Steven Tacchi","259029760",0,0,1
"2011-08-01 19:59:51","http://www.youtube.com/watch?v=llVDltLmt_c … @GreysonChance LITTLE LONDON GIRL ",98200000000000000,"246832103","Dj Lanre Factory78","246832103",0,0,1
"2011-08-07 19:59:56","@TeamCastroFusco No like the London in England.",100000000000000000,"106085229","Sugar n Spice","106085229",0,0,1
"2011-08-03 19:59:42","whats going on in london??",98900000000000000,"107540499","UK PCs for Sale","107540499",0,0,1
"2011-08-10 19:59:53","@MissDamiiBaybee watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT",101000000000000000,"25825267","Jason","25825267",0,0,1
"2011-08-02 19:58:47","@TheBritishChick haha joka! London is crap n idiots messin up d place. I bout yo riot pon d idiots yes lol",98500000000000000,"162121563","Parris Alena","162121563",0,0,1
"2011-08-08 19:59:59","#ukpc4sale LONDON Ibm T410 Lenovo i5 Cpu 4gb ram 320gb_ 2.53 Ghz Hd laptop mint condition (lonodn_ Price: £400)  http://bit.ly/5ZSJh0",101000000000000000,"99469925","Angelica Macabangon","99469925",0,0,1
"2011-08-04 19:59:47","(vid) London Riots - ###Police Overrun in Woolwich | Nothing but animals http://goo.gl/QP1j7",99300000000000000,"346871925","#CgmLife","346871925",0,0,1
"2011-08-09 19:59:56","@MixkidMuzikDJ no not anymore. I'm back in london",101000000000000000,"75302264","London VIP","75302264",0,0,1
"2011-08-05 19:59:54","RT @LaouLover4Ever: I hope you all are okay.. All london residents #PrayForLondon",99600000000000000,"152354070","Ashley Natasha Kelly","152354070",0,0,1
"2011-08-06 19:59:43","@S_C_  check this out hottest hood video in london pls RT http://www.youtube.com/watch?v=InQ08WBgQUY …",100000000000000000,"24069146","Just Riah","24069146",0,0,1
"2011-08-01 19:59:49","www.London-VIP.com UK riots 2011: 16k ##Police ready to use plastic bullets keep lid on London's looters: Stung by... http://bit.ly/nkcrkR",98200000000000000,"304831710","Rubina Shabbir","304831710",0,0,1
"2011-08-07 19:59:55","Seen all these track updates...bout to wAtch universal sports being hear London been exciting today",100000000000000000,"29030485","james smith","29030485",0,0,1
"2011-08-03 19:59:42","#Dead @ARIGINALIAMFL My homegirl in London anxious about me coming over there but she a lil too excited She got me thinking bout HOSTEL",98900000000000000,"107540499","UK PCs for Sale","107540499",0,0,1
"2011-08-10 19:59:52","ARSENAL & Manchester UNITED To Battle for 'Joey Barton' - http://tinyurl.com/3hf9wm3 - #London #Sports #UnitedKingdom",101000000000000000,"102692590","Sequester Mania!","102692590",0,0,1
"2011-08-02 19:58:16","look after yourselves london people #brixton",98500000000000000,"29500460","Ben Nicky","29500460",0,0,1
"2011-08-08 19:59:59","#ukpc4sale LONDON Dell Studio 15 1558 i7 720QM 4gb Ram 500GB_ dell laptop_ dell studio (lonodn_ Price: £450)  http://bit.ly/5ZSJh0",101000000000000000,"311554864","New Hour In London","311554864",0,0,1
"","1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg",55845252,"iPedal.com","55845252","0",0,0,1
"2011-08-05 19:59:53","RT : #riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",99600000000000000,"233671285","amelia.","233671285",64,67,-1
"2011-08-01 19:59:45","msnbc.com U.S. & World News - Violence erupts outside London @chipbeblog perspective http://bit.ly/p8qSGh",98200000000000000,"246832103","Dj Lanre Factory78","246832103",0,0,1
"2011-08-07 19:59:55","@NOH8_ForJoeJ Btw_ is bermingham further than london?",100000000000000000,"235797095","London Classifieds","235797095",0,0,1
"2011-08-03 19:59:41","@funkmasterflex: #IFWT: (Video) North London in Flames As Riots Follow Protests!! http://bit.ly/o914WV ",98900000000000000,"107540499","UK PCs for Sale","107540499",0,0,1
"2011-08-10 19:59:52","@MylzB watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT",101000000000000000,"38002625","Day Howarth","38002625",0,0,1
"2011-08-08 19:59:59","LONDON>Housing>Apt / Houses for Rent>£100 - 1br - Studio flat to rent  Frognal  Hampstead  NW3 http://bit.ly/oToPZ2",101000000000000000,"286925643","Abdurrahman Haqqoni","286925643",0,0,1
"2011-08-04 19:59:46","#ukpc4sale LONDON CnM Lifestyle Electronis Cd Dvd external drive Sale Or Swap (london_ Price: £20)  http://bit.ly/5ZSJh0",99300000000000000,"38922426","Kane","38922426",0,0,1
"2011-08-09 19:59:56","Can't believe the 'people' in Salford on the BBC. Taking your kids robbing because \"someone got shot in London for nuffin.\" Cretins.",101000000000000000,"15857686","Distinct Occasions","15857686",0,0,1
"2011-08-06 19:59:41","RT @deathbatnews: To all readers in London and surrounding areas - Please stay safe.",100000000000000000,"152964686","all business","152964686",0,0,1
"2011-08-01 19:59:44","check:  LONDON > IOW!! ;););) <333 #riots #riots check my link   http://tmi.me/ebWW6",98200000000000000,"212452220","David Krysiak","212452220",0,0,1
"2011-08-07 19:59:54","Just stunned by the riots in London. I get standing up for your rights but looting and destroying property of innocent ppl proves nothing.",100000000000000000,"63866275","SF","63866275",0,0,1
"2011-08-03 19:59:41","RT : #riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",98900000000000000,"107540499","UK PCs for Sale","107540499",64,67,-1
"2011-08-02 19:57:08","@Edyta_Sliwinska Hi Edyta -not able to see the show - in London for work. BUT_ glad for you and A! Onto Krakow - what's ur fave food?",98500000000000000,"97243587","Vervain","97243587",0,0,1
"2011-08-08 19:59:59","What on earth is happening to London....its already shit_ and these fools wna riot and make it worse smh!",101000000000000000,"167398119","B","167398119",0,0,1
"2011-08-04 19:59:45","#ukpc4sale LONDON Brand new apple macbook pro 17 (london_ Price: £450)  http://bit.ly/5ZSJh0",99300000000000000,"37216356","Back Climber","37216356",0,0,1
"2011-08-09 19:59:56","must resist a mad shopping spree at @MasterU_London",101000000000000000,"86118323","Pluto Uno","86118323",0,0,1
"2011-08-05 19:59:52","RT @AY0_Flygerian: RT @SongwriterStarz: RT @TheBadderman: 1700 police officers on the streets of London tonight. ... http://tmi.me/ebWW6",99600000000000000,"16709645","Jon Norris","16709645",0,0,1
"2011-08-06 19:59:37","RT @iShonnyboy RT @PrinceCharmingP: @iShonnyboy son they tryna jump on me--- *rolls up sleeves* WHO?! -@London_Arrogant @Trey_Badd",100000000000000000,"347123932","Mr Global News","347123932",0,0,1
"2011-08-01 19:59:43","The Big Picture - London riots: update http://bo.st/pOZ0SM",98200000000000000,"174195845","Yamai","174195845",0,0,1
"2011-08-03 19:59:39","Photo: Evening drinks at the Slug & Satellite … #3/365 (Taken with Instagram at London) http://tumblr.com/xxt3x50zet",98900000000000000,"50470870","Kev","50470870",0,0,1
"2011-08-10 19:59:50","#disturbance after London protest http://bit.ly/ptIQyA",101000000000000000,"334233581","Luccas Almeida","334233581",0,0,1
"2011-08-02 19:57:01","RT @DjLanreDavies: @ydcoal watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT",98500000000000000,"106085229","Sugar n Spice","106085229",0,0,1
"2011-08-08 19:59:59","I'm tryna take a vacation soon...may be london and italy. Who's down?",101000000000000000,"89760654","Michael","89760654",0,0,1
"2011-08-04 19:59:42","We Pray For London http://tumblr.com/xwk40sb31m #london #stopPoliceBrutality",99300000000000000,"28188830","Miana Symone'","28188830",0,0,1
"2011-08-09 19:59:55","@DjPrivateRyan not long til u reach London....!",101000000000000000,"351244317","tonydibbs","351244317",0,0,1
"2011-08-05 19:59:50","Amazed at reading how the chefs came out knives drawn to fight away the crowd & protect their guests. Hope London can get back under control",99600000000000000,"16709645","Jon Norris","16709645",0,0,1
"2011-08-01 19:59:42","how come my #followers live so far away from me.. ? london _ africia ? lol .",98200000000000000,"344041648","youngexhibcouple","344041648",0,0,1
"2011-08-03 19:59:37","@electronicrumor not edl. thats home grown enfield son. i know this. fuckin edl aint even from london. fuck edl. this is hometown.",98900000000000000,"223900604","Lizzie Mckeone","223900604",0,0,1
"2011-08-10 19:59:50","RT : #riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",101000000000000000,"38196184","E West","38196184",64,67,-1
"2011-08-02 19:56:54","London trains were a nightmare today. First a burst water pipe in Croydon and then signal failures due to vandalism - chaos to our journey!",98500000000000000,"19134817","Michelle","19134817",0,0,1
"2011-08-08 19:59:59","@bethwieczorek omg I'm so jealous_ London is like the bee knees!! Bring me back a big Ben candle",101000000000000000,"90202646","larry lanpad","90202646",0,0,1
"2011-08-04 19:59:40","Seen the nicest jacket now_ tempted to get back up London just so I can wear these nice suits! Better go to bed before I'm broke_ night x",99300000000000000,"290913059","Ericka","290913059",0,0,1
"2011-08-09 19:59:55","10 bucks at London drugs = a whole lot of fun. http://campl.us/dfNJ",101000000000000000,"17530417","Pic Ocampo","17530417",0,0,1
"2011-08-05 19:59:49","RT @idowu_jay: RT @iKilledMario: Some people must think that London zoo and Ibadan zoo share the same gateman",99600000000000000,"59126679","Quant Finance Jobs","59126679",0,0,1
"2011-08-06 19:59:32","Privacy Protection and New Features are Key to Journal Home's Free ...: London_ UK (PRWEB) August 8_ 2007. In an age where people hav...",100000000000000000,"18807391","Tammie","18807391",0,0,1
"2011-08-01 19:59:40","My thoughts go out to the people of ####Tottenham    & #London. I know it hurts to see your city go up in flames. I hope healing comes fast!",98200000000000000,"37064269","Maimuna Ibrahim","37064269",0,0,1
"2011-08-07 19:59:52","Job IB (London): Associate Multi-Asset Structurer.+ Fluent in English et e... http://bit.ly/jGeGQ6 Quant IB Finance jobs 42",100000000000000000,"327695854","Helena Genevieve","327695854",0,0,1
"2011-08-03 19:59:26","@vtj3 I just check BBC news Disturbance after London protest - http://www.bbc.co.uk/news/uk-england-london-14434318 … :/",98900000000000000,"151109592","Premila Puri","151109592",0,0,1
"2011-08-10 19:59:50","I've just been reading on how there's a mini-heatwave going on in lOndon. But I've been out in 40 degree weather for the past 5 weeks...",101000000000000000,"136374171","Ashe Grema Moh'd","136374171",0,0,1
"2011-08-02 19:56:51","#ebz \"The Bazaar requires the London Magazine to change its name. The London Magazine has survive... http://fallenlondon.com/c/1324532",98500000000000000,"21147693","Danny","21147693",0,0,1
"2011-08-08 19:59:58","Lolll RT @Davidandthetwit: Big transport disruption in London tonight. Wrong sort of sun on the tracks_ I imagine.",101000000000000000,"19097267","Ignacio Cifuentes","19097267",0,0,1
"2011-08-04 19:59:40","And the bridges in london came falling down...",99300000000000000,"290913118","Hannah","290913118",0,0,1
"2011-08-05 19:59:47","@kevkev She's just going to party it up in London now. Are you disappointed you don't get to see my drunk ass? Haha!",99600000000000000,"104092885","Kris Severin","104092885",0,0,1
"","Privacy Protection and New Features are Key to Journal Home's Free ...: London_ UK (PRWEB) August 8_ 2007. In an age where people hav...",256950900,"nydia","256950900","0",0,0,1
"2011-08-07 19:59:52","RT : #riots #ukriots #londonburn #Racistattack @makdude @babyayh @mmhd http://bit.com/lugOl in London Birmingham Liverpool well where next?",100000000000000000,"16225461","Verbal Vixen","16225461",64,67,-1
"2011-08-08 19:59:58","RT @Remel_London: RT @Chicoco_cakes: Nigeria is a better country right now > haha REAL TALKS!!! << co-sign x 1million. wat is dat sayin oh!",101000000000000000,"17342969","Daniel  Marchand","17342969",0,0,1
"2011-08-04 19:59:34","Have a feeling this drunk guy is gonna be a pain in the arse on way to London.",99300000000000000,"314350830","Shannon Carleton","314350830",0,0,1
"2011-08-09 19:59:53","@bbc5live This wouldn;t be massively unusual for a Wednesday night in south london sadly",101000000000000000,"308966328","Young Itachi","308966328",0,0,1
"2011-08-05 19:59:47","I lived in London in the 70's when bombs exploded daily. What is happening now is worse. #londonriots #London",99600000000000000,"41334600","Monique Beedles","41334600",0,0,1
"2011-08-07 19:59:51","Officially going to London for the year :)",100000000000000000,"80161182","F U E G O","80161182",0,0,1
"2011-08-03 19:59:19","@yebbabrown what happen in London?",98900000000000000,"157198727","OHHShIT_ITZDREW!!","157198727",0,0,1
"2011-08-02 19:55:50","@Chris_Hassall Thanks_ looking forward to it. Our recent dining experiences have been in Paris_ London & Tokyo. Will see how it compares!",98500000000000000,"322745038","Bruna Camargo","322745038",0,0,1
"2011-08-08 19:59:58","YESS! London Is My Date To The Fashion Show LEGOOO ( :",101000000000000000,"47039926","Bill S.","47039926",0,0,1
"2011-08-09 19:59:51","e tambem na Igreja em que o principe Willian se casou_ e tambem fomos no London eye *-* hj fomos em um museu de arte moderna_",101000000000000000,"26372082","Ahmed Omar","26372082",0,0,1
"2011-08-05 19:59:46","#riot #wallstreet #stockmarket #apocalypse #bloodinthestreets #london #england #new york http://bit.ly/nlOKwA",99600000000000000,"242039849","Samuel Harrison","242039849",0,0,1
"2011-08-01 19:59:38","Photos: Pre-Race Activities In London http://bit.ly/p1b97S",98200000000000000,"246832103","Dj Lanre Factory78","246832103",0,0,1
"2011-08-07 19:59:50","London Riots: Britain's Social Elastic is Snapping Back in Cameron's Face  http://huff.to/ptqX9d",100000000000000000,"44908542","Mash","44908542",0,0,1
"2011-08-10 19:59:45","@NICKIMINAJ COME TO LONDON ASAP!!! feeling all left out seeing these tweets about your performances :'(",101000000000000000,"230223511","JLS&RitaOra&1D","230223511",0,0,1
"2011-08-02 19:55:07","@DBoateng123 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT",98500000000000000,"145258997","String Doll","145258997",0,0,1
"2011-08-08 19:59:58","10.. Breaking my phone in London.",98200000000000000,"286813735","James Martin","286813735",0,0,1
"2011-08-07 19:59:49","Read what some of the biggest names in Pop have had to say about the London Riots http://bit.ly/o1MUnH  inc. JLS_ Jessie J_ Tinie Tempah...",100000000000000000,"247662518","IT Job Database","247662518",0,0,1
"2011-08-03 19:59:15","@Tai_Monroe yeah but you got the London name. :-)",98900000000000000,"49804245","Megan","49804245",0,0,1
"2011-08-10 19:59:43","@stopbeingfamous: People are asking what caused the London rebellion. Police brutality against blacks_ poorpeople_ & Muslims. Unemployment.,100717922556719104,295653759,chanel #TeamHeat,295653759,0,0
INFO:root:162-[2011-08-04 19:59:31],I remember when I ",101000000000000000,"39749247","Tony! Toni! Ton�!","39749247",0,0,1
"2011-08-02 19:54:32","London IT Jobs: http://itjobdatabase.com/london #london #IT #Jobs #ITJDB",98500000000000000,"319829160","yo","319829160",0,0,1
"2011-08-08 19:59:58","@Ms_Trini_London aww poor maria. arnt u goin to the movies?",101000000000000000,"123115748","V a l","123115748",0,0,1
"2011-08-04 19:59:26","Check this video out -- London Riots. (The BBC will never replay this. Send it out) http://www.youtube.com/watch?v=biJgILxGK0o&feature=share … via @youtube",99300000000000000,"93647694","Rayan Alkhaleel","93647694",0,0,1
"2011-08-09 19:59:50","@WorldofSimpson @greysonchance #HoldonTiltheNight Little london girl ! ",101000000000000000,"33123688","fernanda castano","33123688",0,0,1
"2011-08-05 19:59:34","@RahafKhm apparently some rioters are fire burning houses and stuff in London.. I really don't know why :(",99600000000000000,"286404473","jackie","286404473",0,0,1
"2011-08-07 19:59:48","Agent of Santos' Neymar advises player to join Real Madrid after London 2012 Olympics http://bit.ly/qZ2Mrs",100000000000000000,"37272077","Myah Jeffers","37272077",0,0,1
"2011-08-03 19:59:10","Now it's Manchester and the Midlands' turn as London braces for FOURTH night of rioting http://bit.ly/r2KMOS ",98900000000000000,"59869970","L�","59869970",0,0,1
"2011-08-02 19:54:27","@greysonchance i would be your Little London Girl <3 #HoldOnTilTheNight",98500000000000000,"142358100","chris kulbaba","142358100",0,0,1
"2011-08-08 19:59:58","babes you're like a day late loooool RT @_Jailisa: yoo what happened in london?? :c",101000000000000000,"42447646","Rosie","42447646",0,0,1
"2011-08-04 19:59:23","uma menina lá da sala voltou com um casaco I  London uhullll mas foi a mãe dela que foi pra lá_ ai que inveja KKK",99300000000000000,"174031718","Rafaela Santiago","174031718",0,0,1
"","cher's security should get down to london and sort it out..",98137582,"Paolo L von Schirach","98137582","0",0,0,1
"2011-08-05 19:59:31","London London London London",99600000000000000,"277174725","Nancy Aguilar","277174725",0,0,1
"2011-08-02 19:54:26","London 2012 Olympics: canoeist Ella Nicholas has the chance to put the Cook Islands on the map http://bit.ly/oKlyE8 ",98500000000000000,"41853906","Sabrina Dresch","41853906",0,0,1
"2011-08-08 19:59:58","@Seanovski91 @Funsiizedchiick watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT",101000000000000000,"187215049","Liam Power","187215049",0,0,1
